name,price,url,warning_text,img_src
Sapiens: A Brief History of Humankind,£54.23,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg
Sharp Objects,£47.82,http://books.toscrape.com/catalogue/sharp-objects_997/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg
Soumission,£50.10,http://books.toscrape.com/catalogue/soumission_998/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg
It's Only the Himalayas,£45.17,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg
Libertarianism for Beginners,£51.33,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg
Tipping the Velvet,£53.74,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg
How Music Works,£37.32,http://books.toscrape.com/catalogue/how-music-works_979/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/1d/40/1d4087ff0a63f09fae9cd8433d21c2c4.jpg
In Her Wake,£12.84,http://books.toscrape.com/catalogue/in-her-wake_980/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/27/92/2792ef951651ff1eae40a410cac41e0f.jpg
Birdsong: A Story in Pictures,£54.64,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/af/2f/af2fe2419ea136f2cd567aa92082c3ae.jpg
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/9f/58/9f58d3ff6d58589eaf325b1a33c303a0.jpg
You can't bury them all: Poems,£33.63,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/b7/44/b7440aa88046b0bf8cba50d59295518e.jpg
Behind Closed Doors,£52.22,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/a5/85/a58571db229f2e8f75ea38861eca7f39.jpg
"In a Dark, Dark Wood",£19.63,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg
Maude (1883-1993):She Grew Up with the country,£18.02,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/65/bf/65bfa3acc93b0e558a1c3de1b1164742.jpg
Black Dust,£34.53,http://books.toscrape.com/catalogue/black-dust_976/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/a4/0a/a40af95beab828af1a4757ad1ee17da3.jpg
Chase Me (Paris Nights #2),£25.27,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/6c/84/6c84fcf7a53b02b6e763de7272934842.jpg
Penny Maybe,£33.29,http://books.toscrape.com/catalogue/penny-maybe_965/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/b1/4b/b14be641ab97a330891455a769d52fd3.jpg
Sophie's World,£15.94,http://books.toscrape.com/catalogue/sophies-world_966/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/d7/39/d73914232130fdf90d66f02fd9798f2b.jpg
The Bear and the Piano,£36.89,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/d0/87/d0876dcd1a6530a4cb54903aad7a3e28.jpg
The Elephant Tree,£23.82,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/4b/80/4b80a3d9148e224ed4d6cd4d33f43728.jpg
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/7c/10/7c10101fe1759c5a17ba57e4bef9e764.jpg
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/2b/1b/2b1bfecae9d512cb6ee943ccf786216f.jpg
Wall and Piece,£44.18,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/df/34/df346322ddfdd3b4da0e34cad17f49dc.jpg
Aladdin and His Wonderful Lamp,£53.13,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/a8/3c/a83c460fab82f35a37c0846729485547.jpg
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/7b/d9/7bd93db091d736d0c6ff9d578e3ba3d7.jpg
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/a3/2a/a32ab3b8c024c6c2b274a86b185e7585.jpg
Untitled Collection: Sabbath Poems 2014,£14.27,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/65/6e/656e79dfd4f8b6bf19ffde2c75ceda81.jpg
"We Love You, Charlie Freeman",£50.27,http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg
When We Collided,£31.77,http://books.toscrape.com/catalogue/when-we-collided_955/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/17/db/17db3de71e8217d4277a9328b04f56cf.jpg
Without Borders (Wanderlove #1),£45.07,http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/de/26/de269ee688d4dc51846567f3942600ce.jpg
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/71/45/71451e3bba61a8d888a4a2c6526a4bcf.jpg
Private Paris (Private #10),£47.61,http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg
Reasons to Stay Alive,£26.41,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/f5/3c/f53c7d21723c860cfbca2b539bc55b8f.jpg
Slow States of Collapse: Poems,£57.31,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/db/ac/dbac3faca8a799824f5725d66c0fcce3.jpg
The Past Never Ends,£56.50,http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/9d/f2/9df248dcefeaba9eeb519a59b248f72c.jpg
The Natural History of Us (The Fine Art of Pretending #2),£45.22,http://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/da/b8/dab87c14168f3ce18530447ec6437361.jpg
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,http://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/fd/af/fdaf3c3104c559941c01e840fecd2659.jpg
The Secret of Dreadwillow Carse,£56.13,http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/7b/fd/7bfde4a3d6793f13e9a2d8851a398847.jpg
Thirst,£17.27,http://books.toscrape.com/catalogue/thirst_946/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg
This One Summer,£19.49,http://books.toscrape.com/catalogue/this-one-summer_947/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/ee/43/ee4364a59d66bafb1b3264419ab3ed9e.jpg
The Torch Is Passed: A Harding Family Story,£19.09,http://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/c7/26/c7260547c468dbe78af92cf3927c2a1c.jpg
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/8b/ab/8bab133ec9f8248a8d5f5ea5c09d0f56.jpg
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/f4/21/f4210912ca58ef35f8ad120fe3dfed38.jpg
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/27/a1/27a1ebe79d6e6759ec68ea9f427a4f71.jpg
Unicorn Tracks,£18.78,http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/9b/09/9b0935dc936c92900c2dc5d2114da72f.jpg
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/88/a4/88a4b5f7236b8a36ba972be5ebe4f252.jpg
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,http://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/60/3c/603c8f3dd299efe67616a53e5bfb1d03.jpg
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,http://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/4a/99/4a996ae54711cea37e370428b54f8b19.jpg
Security,£39.25,http://books.toscrape.com/catalogue/security_925/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/79/2b/792bdeb2cf7d8efaef0e401e5a27b4da.jpg
Soul Reader,£39.58,http://books.toscrape.com/catalogue/soul-reader_926/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/cc/5e/cc5e82c2205da748c6c19fbc1876586b.jpg
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,http://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/2c/d2/2cd2b814b8a8cd3a49895cbd13a8b1f4.jpg
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,http://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/17/19/1719475c51206a410a90fe5f3708df4c.jpg
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,http://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/da/0c/da0ca35421a5120b2109028e44a53f56.jpg
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,http://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/d5/d0/d5d015a9cf899301cce5d1a629bdd974.jpg
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,http://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/2e/65/2e654066306042f4c462ba4d048650d9.jpg
The Art Forger,£40.76,http://books.toscrape.com/catalogue/the-art-forger_930/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/f5/3b/f53bc7b18914c97de7c23967293be119.jpg
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,http://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/9c/c6/9cc673854af8fd155953384b3cac334e.jpg
The Death of Humanity: and the Case for Life,£58.11,http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/3f/f6/3ff6fe5d0c5ca7ab2ed8b5971e299caa.jpg
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,http://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/73/cb/73cb1236d96f455d712516fffeae2304.jpg
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,http://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/b1/0f/b10faf0dee8994865437ffc79682dc2f.jpg
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,http://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/a5/b8/a5b8d2d5165a06fc762e8eaf8b04f98f.jpg
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,http://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/26/65/2665876e19a6c92130f02cfda3bd3846.jpg
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,http://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/c9/eb/c9eb6ecf45abf796df0044600db65e55.jpg
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,http://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/a3/9e/a39e7c5c9fc61c2ae0f81116aa8cbb0e.jpg
The Murder That Never Was (Forensic Instincts #5),£54.11,http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/29/e0/29e036acd8a6e3daa787ce2bc05bdbbb.jpg
The Nameless City (The Nameless City #1),£38.16,http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/19/de/19deee0778c2406da04a4dd0ea09188f.jpg
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,http://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/48/19/48192cbef9101060e3787d87d7c8d7d1.jpg
Masks and Shadows,£56.40,http://books.toscrape.com/catalogue/masks-and-shadows_909/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/05/c4/05c43fe821ae19169c7baa8a54c7e869.jpg
My Paris Kitchen: Recipes and Stories,£33.37,http://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/ae/d5/aed548aefcac7803a599b05da3acb86e.jpg
Obsidian (Lux #1),£14.86,http://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/88/3f/883fb0f2304efca8724c629f03a4b82a.jpg
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,http://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/d6/9b/d69b7020c4210e12882ffca0428919a2.jpg
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,http://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/1c/78/1c78cb31ededc4c662857cf65bd1619d.jpg
On a Midnight Clear,£14.07,http://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/75/9d/759d9276739200e2cb8101a36449ba20.jpg
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,http://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/67/f8/67f83a06f77d0ff3b06cb8ac04839422.jpg
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,http://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/49/e1/49e1f207b2149e34390a2c6aa7cfc113.jpg
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,http://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/33/0b/330bf57e3f2e70548f87d39cb956f7eb.jpg
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,http://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/0c/8a/0c8ae80b592bc1b4c555d6b29d1cfa28.jpg
Patience,£10.16,http://books.toscrape.com/catalogue/patience_916/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/71/0c/710cdaa148f10aac35c27bb93b4f532e.jpg
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,http://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/31/e6/31e6e0a41e62858180b268c27b20a770.jpg
