Brand,Product Title,Product Link,MRP,Selling Price,Number of Rating,Star Rating,description,Link of the Images,Number of Images,List of comments,Seller Name
Pantaloons Junior,Boys Typography Printed Cotton Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-typography-printed-cotton-shorts/28485050/buy,,299,47,4.4,"Product Details  Navy blue typography printed mid-rise regular shorts, has 3 pockets, slip-on closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Slip-On Print or Pattern Type Typography Fit Regular Fit Number of Pockets 3 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23729036/2023/6/22/a5f9c18e-f9a1-4faa-a997-ffaea56f59511687439712891PantaloonsJuniorBoysNavyBlueShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23729036/2023/6/22/9aad5a1f-75ff-4998-9c47-04dc068c82b01687439712923PantaloonsJuniorBoysNavyBlueShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23729036/2023/6/22/b6d8296a-8d45-4351-b687-31262c89e1231687439712907PantaloonsJuniorBoysNavyBlueShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23729036/2023/6/22/378470e1-3485-4e24-b14f-2f85a30a632c1687439712876PantaloonsJuniorBoysNavyBlueShorts4.jpg']",4,"['Good product', 'Good product', 'Nice']",Westbury Holdings Pvt Ltd_Pantaloons
H&M,Boys Sweatshirt Shorts,http://myntra.com//shorts/h%26m/hm-boys-sweatshirt-shorts/22830288/buy,699,489,298,4.1,"Product Details  Knee-length shorts in lightweight sweatshirt fabric with an elasticated, drawstring waist. Material & Care 80% Cotton, 20% Polyester Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Graphic Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23517288/2023/6/3/ec0d08f1-0220-4d7f-9569-082d728d49051685764827167Sweatshirtshorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23517288/2023/6/3/fe09502c-7589-4d5b-8561-8816d2492bd51685764827192Sweatshirtshorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23517288/2023/6/3/ce32e44d-4fb3-4419-8fc2-f247eb2e5f6a1685764827180Sweatshirtshorts3.jpg']",3,"['trouser is very nice. but, in this product page, myntra describes ""H&M Boys Printed Sweatshirt Shorts."" So, I expected both Sweatshirt and Shorts. Not bad!!', 'Comfortable for my toddler…. Definitely recommend it..', 'Like the feel and style. But the price was on the higher side.']",H & M Hennes & Mauritz Retail Private Limited
Marks & Spencer,Boys Checked Shorts,http://myntra.com//shorts/marks+%26+spencer/marks--spencer-boys-checked-shorts/27157782/buy,999,499,6,4.3,"Product Details  Green checked mid-rise regular shorts, has 2 pockets, drawstring closure Material & Care 85% Cotton &15% Polyester Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Checked Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27157782/2024/1/23/1736a2a7-e2b2-426b-8f67-7dbd98fba0011706020070145MarksSpencerBoysConversationalPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27157782/2024/1/23/987b47fb-3059-4a82-a811-19584d2c0f3d1706020070168MarksSpencerBoysConversationalPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27157782/2024/1/23/474658d5-0609-4986-9493-a9e49db585781706020070160MarksSpencerBoysConversationalPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27157782/2024/1/23/9f0c5fc9-52eb-48a6-8e89-e4252d01222c1706020070153MarksSpencerBoysConversationalPrintedShorts4.jpg']",4,"['Nice shorts good fabric', 'Great product']",MARKS AND SPENCER RELIANCE INDIA PRIVATE LIMITED
Lil Tomatoes,Boys Tropical Printed Shorts,http://myntra.com//shorts/max/max-boys-shorts/28114216/buy,1399,559,,,"Product Details  Teal blue tropical printed mid-rise regular shorts, has 2 pockets, drawstring closure Material & Care Cotton Blend Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Floral Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29010072/2024/4/17/51f90b0f-6cca-492b-87b3-352f511334d41713362472714LilTomatoesBoysFloralOutdoorShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29010072/2024/4/17/f501efb7-2113-4f67-91cd-a8857c8abc1a1713362472742LilTomatoesBoysFloralOutdoorShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29010072/2024/4/17/6b75de33-5680-46bf-a232-68dd04181bb91713362472775LilTomatoesBoysFloralOutdoorShorts3.jpg']",3,,Gunno Fashions Pvt. Ltd.
Ed-a-Mamma,Boys Mid-Rise Cotton Denim Shorts,http://myntra.com//shorts/zalio/zalio-boys-washed-pure-cotton-denim-shorts/23406186/buy,1199,719,5,4.6,"Product Details  Blue solid mid-rise regular denim shorts, has 5 pockets, button closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Denim Shorts Closure Button Print or Pattern Type Solid Fit Regular Fit Number of Pockets 5 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22198356/2023/3/2/80ced39e-d9b0-49ca-a245-57c15da772761677757753964Ed-A-MammaSustainableBoysDenimShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22198356/2023/3/2/c26b74e2-f591-4904-9271-b2c1bdaf438b1677757753955Ed-A-MammaSustainableBoysDenimShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22198356/2023/3/2/1301c0a1-5a87-4d02-81af-87ceb311b2731677757753988Ed-A-MammaSustainableBoysDenimShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22198356/2023/3/2/20444cbb-1bc3-44e6-973f-43c5a5a9e1191677757753975Ed-A-MammaSustainableBoysDenimShorts4.jpg']",4,['Good product'],ETERNALIA MEDIA PRIVATE LIMITED
Puma,CLASSICS Boys Relaxed Fit Youth Cotton Shorts,http://myntra.com//shorts/gant/gant-boys-solid-mid-rise-shorts/22159468/buy,1699,679,,,"Product Details  PRODUCT DESIGN DETAILS: Lime green sports shorts Printed Pockets: 2 side pockets Elasticated drawstring waist PUMA Cat logo on thigh Medium rise, French terry knit. PRODUCT STORY: Crafted with a stretchy elasticated waistband, youll get an effortless fit for maximum comfort in CLASSICS Relaxed Fit Youth Shorts. The slip pockets provide a convenient place to store your essentials, while the PUMA Cat logo adds a subtle branding element. Whether youre hitting the gym or running errands around town, these shorts are the perfect addition to your wardrobe Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Sports Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Sports See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28053958/2024/3/5/2cf350ef-f943-4b74-96d0-18d18bf309fc1709645619733CLASSICSRelaxedFitYouthShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28053958/2024/3/5/6c4b05df-27bb-4da6-8b09-e54f13fdba901709645619718CLASSICSRelaxedFitYouthShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28053958/2024/3/5/3538ca9d-796e-4518-a871-3eaa0f92a5ce1709645619725CLASSICSRelaxedFitYouthShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28053958/2024/3/5/9aeb953e-907e-4de0-b314-5405c3f6c9761709645619739CLASSICSRelaxedFitYouthShorts4.jpg']",4,,Puma Sports India Pvt. Ltd.(NSCM)
Pantaloons Junior,Boys Washed Denim Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-washed-denim-shorts/27331542/buy,,699,8,3.8,"Product Details  Navy blue washed mid-rise denim shorts, has 5 pockets, button closure Material & Care 70% Cotton, 28% Polyester, 2% Elastane Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Denim Shorts Closure Button Print or Pattern Type Washed Fit Regular Fit Number of Pockets 5 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28185290/2024/3/11/3b058737-f071-4a08-babe-3b2b7e14d8531710154840868PantaloonsJuniorBoysWashedDenimShortsTechnology1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28185290/2024/3/11/2ccc0cc9-1c0f-4cdf-b0fa-082996d8b7361710154840945PantaloonsJuniorBoysWashedDenimShortsTechnology2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28185290/2024/3/11/ac0dfd2a-cdf5-4f9c-a6c6-4e3c6d274b011710154840919PantaloonsJuniorBoysWashedDenimShortsTechnology3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28185290/2024/3/11/c7ecf71b-508e-40a6-98e9-20358cce74331710154840891PantaloonsJuniorBoysWashedDenimShortsTechnology4.jpg']",4,['Super Mario'],Westbury Holdings Pvt Ltd_Pantaloons
H&M,Boys Washed-Look Sweatshirt Cargo Shorts,http://myntra.com//shorts/marks+%26+spencer/marks--spencer-boys-tropical-printed-shorts/23951052/buy,,799,,,"Product Details  Cargo-style shorts in soft, lightweight sweatshirt fabric. Elasticated, drawstring waist and flap pockets on the legs. Material & Care 80% Cotton, 20% Polyester Line dry Only non-chlorine bleach when needed Machine wash at 40deg Medium iron No dry clean Specifications Waist Rise Mid-Rise Length Above Knee Type Cargo Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28882600/2024/4/12/628cee2c-d53c-4935-9c37-3ed3dc4464691712907588150Sweatshirtcargoshorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28882600/2024/4/12/2697144d-f1cb-4cc6-921f-f904df5961a01712907588159Sweatshirtcargoshorts2.jpg']",2,,H & M Hennes & Mauritz Retail Private Limited
Pantaloons Baby,Infant Boys Washed Denim Shorts,http://myntra.com//shorts/pantaloons+baby/pantaloons-baby-boys-conversational-printed-cotton-chino-shorts/23728668/buy,,499,6,4.3,"Product Details  Blue washed mid-rise denim shorts, has 2 pockets, drawstring closure Material & Care Cotton, Polyester, Elastane Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Denim Shorts Closure Drawstring Print or Pattern Type Washed Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28769604/2024/4/8/80e67a86-3f98-45b7-b266-49f829b43e621712548830574PantaloonsBabyBoysFloralPrintedDenimShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28769604/2024/4/8/827d7716-ce57-4bd2-9fcb-c6d4cc7e481f1712548830638PantaloonsBabyBoysFloralPrintedDenimShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28769604/2024/4/8/5e7954a2-a0da-4e2e-8776-a7975e059c1b1712548830671PantaloonsBabyBoysFloralPrintedDenimShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28769604/2024/4/8/f3e697ed-9967-4286-8e1c-ae050b2843cd1712548830604PantaloonsBabyBoysFloralPrintedDenimShorts4.jpg']",4,"['Super soft and generous for baby.', 'Nice pant']",Westbury Holdings Pvt Ltd_Pantaloons
H&M,Boys Blue Sweatshirt Shorts,http://myntra.com//shorts/puma/puma-boys-super-puma-graphic-printed-pure-cotton-regular-fit-shorts/21805094/buy,,799,338,4.6,"Product Details  Knee-length shorts in sweatshirt fabric made from a cotton blend with an elasticated, drawstring waist and side seams positioned slightly towards the front containing a discreet welt pocket. Material & Care 80% Cotton, 20% Polyester Machine wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17123854/2022/2/11/b880da8b-dffa-494a-927c-778df44071381644569294840Sweatshirtshorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17123854/2022/2/11/823e7765-b851-4816-b07a-c8105d02a4241644569295032Sweatshirtshorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17123854/2022/2/11/f163499e-975b-476c-b5d7-2067b11e42721644569294694Sweatshirtshorts3.jpg']",3,"[""It's very nice product colour was awesome my son just love it ❤️❤️ thanks mytra"", 'It’s very comfortable n the fabric is really smooth. I purchased it for my 13year old he is quite happy.', 'Simple, comfortable and sober look']",H & M Hennes & Mauritz Retail Private Limited
YK Marvel,YK Disney Boys Pack of 2 Solid Regular Shorts with Avengers Spiderman Print Detail,http://myntra.com//shorts/yk+marvel/yk-marvel-boys-pack-of-2-red--grey-avengers-printed-shorts/17590330/buy,1999,639,127,4.5,"Product Details  Pack of 2 grey and black solid mid-rise regular shorts with Avengers Spiderman print detail, each has 3 pockets, and drawstring closure Size & Fit Regular Material & Care Material: Cotton   Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 3 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/2/22/18a5317b-1451-4932-b560-bb372c6d88841613969652771-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/2/22/eedaa570-6fce-4b39-90c6-5d1ddc0223231613969652790-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/2/22/edd887ba-8411-4f98-b18c-f9b7338086451613969652817-3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/2/22/f7834c2a-0be5-4c9e-bda6-62237169e5e01613969652837-4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/2/22/4c02d337-4253-4cbb-b318-b63be98d22711613969652863-5.jpg']",5,"['They are decent , quite long . Unless your child is tall might want to measure the shorts and order .', 'Comfortable,amazing product as aspect  go for it \n   (Thanks Myntra)', ""One of the shorts was fine, but the second was fleece lined (warm fabric), which is completely absurd. Unfortunately we had already removed the tags, so couldn't request a return/ exchange.""]",CROSSROADS CLOTHING PVT LTD
HRX by Hrithik Roshan,Boys Olive Green Solid Lifestyle Cotton Shorts,http://myntra.com//shorts/max/max-boys-charcoal--green-solid-shorts/17804872/buy,899,404,132,4.1,"Product Details  Olive green solid mid-rise regular shorts,  has 2 pockets, drawstring closure Size & Fit Regular Fit  Material & Care Cotton  Machine wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18300300/2022/6/8/1f9bf3d0-87b1-4870-8ec4-c151fa5312661654687829320HRXbyHrithikRoshanBoysOliveGreenSolidLifestyleCottonShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18300300/2022/6/8/6364be93-afd8-42b6-bb62-b8129dbb12181654687829328HRXbyHrithikRoshanBoysOliveGreenSolidLifestyleCottonShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18300300/2022/6/8/3d3be076-edff-49ee-8779-590283fa14a71654687829336HRXbyHrithikRoshanBoysOliveGreenSolidLifestyleCottonShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18300300/2022/6/8/c6631522-0d80-4900-8ae9-fb739a5ec2661654687829344HRXbyHrithikRoshanBoysOliveGreenSolidLifestyleCottonShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18300300/2022/6/8/6c15f76d-b86f-4563-9e45-26e200f08b171654687829354HRXbyHrithikRoshanBoysOliveGreenSolidLifestyleCottonShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18300300/2022/6/8/85bfc0aa-27a3-4689-a358-e387d4ca34b41654687829362HRXbyHrithikRoshanBoysOliveGreenSolidLifestyleCottonShorts6.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18300300/2022/6/8/65a03d0e-30c8-4035-96f5-79105f15b07b1654687829371HRXbyHrithikRoshanBoysOliveGreenSolidLifestyleCottonShorts7.jpg']",7,"['Super soft material.  Comfortable.  Super cool 😎', 'Nice stuff', 'Nice']",ARDEUR FASHIONS
H&M,Boys Cotton Pull-On Shorts,http://myntra.com//shorts/h%26m/hm-boys-pure-cotton-loose-fit-denim-shorts/28991608/buy,,799,,,"Product Details  Shorts in a cotton weave with a relaxed fit through the hip and thigh. Easy pull-on, elasticated waist with a concealed drawstring, fake fly and diagonal side pockets. Material & Care 100% Cotton Machine Wash   Only non-chlorine bleach when needed Machine wash at 40deg Can be dry cleaned Tumble dry medium High iron Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Slip-On Print or Pattern Type Solid Fit Loose Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29282254/2024/5/2/4d7c0665-f495-40ff-8e9d-6192be5209d91714622308218Cottonpull-onshorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29282254/2024/5/2/046f34f2-db21-48b4-890b-b679c84d23221714622308239Cottonpull-onshorts2.jpg']",2,,H & M Hennes & Mauritz Retail Private Limited
NEXT,Infant Boys Pure Cotton Shorts,http://myntra.com//shorts/h%26m/hm-boys-5-pack-cotton-jersey-shorts/23125994/buy,899,359,5,4,"Product Details  Green solid mid-rise regular shorts, has 2 pockets, elasticated waistband and drawstring closure Size & Fit Regular Fit  Material & Care 100% cotton Machine wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 3 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26423764/2024/1/16/a1dd6128-5934-455e-a0aa-ed62d044d0341705399419957CrimsouneClubStripedPureCottonPulloverCoatsNEXTBoysJeansNEXT1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26423764/2024/1/16/90600a87-c0b6-42cf-8075-63c7a9f942f11705399419963CrimsouneClubStripedPureCottonPulloverCoatsNEXTBoysJeansNEXT2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26423764/2024/1/16/2ca46109-41e3-41a0-9c75-1a00b93293ca1705399419968CrimsouneClubStripedPureCottonPulloverCoatsNEXTBoysJeansNEXT3.jpg']",3,['Nice'],Supercom Net
max,Boys Floral Printed Pure Cotton Shorts,http://myntra.com//shorts/max/max-boys-floral-printed-pure-cotton-shorts/26924610/buy,,399,,,"Product Details  Peach-coloured floral printed mid-rise regular shorts, slip-on closure Material & Care 100% Cotton  Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Slip-On Print or Pattern Type Floral Fit Regular Fit Occasion Casual Knit or Woven Woven See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26924618/2024/1/15/e27878f2-c145-4791-846e-805e626ce7171705290647230maxBoysPeach-ColouredFloralPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26924618/2024/1/15/c92ba2c5-40bb-4ce9-b162-32ead7b5de531705290647235maxBoysPeach-ColouredFloralPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26924618/2024/1/15/3d5ff367-c5c3-4b97-bbc6-88c6dcac60921705290647241maxBoysPeach-ColouredFloralPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26924618/2024/1/15/0a66c764-cfc8-4192-993e-0299950b1a6f1705290647255maxBoysPeach-ColouredFloralPrintedShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26924618/2024/1/15/9603139c-ff89-4779-9a5c-132d9c53beee1705290647221maxBoysPeach-ColouredFloralPrintedShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26924618/2024/1/15/f2f26599-80f8-4008-9649-454f7b8b54af1705290647247maxBoysPeach-ColouredFloralPrintedShorts6.jpg']",6,,Landmark Online India Pvt Ltd
H&M,Boys Mesh Basketball Shorts,http://myntra.com//shorts/angel+%26+rocket/angel--rocket-boys-black-sports-shorts/19149806/buy,,799,,,"Product Details  Basketball-style shorts in mesh. Relaxed fit with covered elastication and a drawstring at the waist, discreet side pockets and an open back pocket. Ribbing with a V-shaped slit on the outside of each hem. Material & Care 100% Polyester Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Sports Shorts Closure Drawstring Print or Pattern Type Solid Fit Loose Fit Number of Pockets 3 Occasion Sports See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28864516/2024/4/12/49dcb3d8-f96c-407b-90e9-fc331edcdef11712900694491Meshbasketballshorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28864516/2024/4/12/17d5209c-7b09-4be4-badb-3689690927e61712900694502Meshbasketballshorts2.jpg']",2,,H & M Hennes & Mauritz Retail Private Limited
U.S. Polo Assn. Kids,Boys Red Printed Pure Cotton Shorts,http://myntra.com//shorts/jack+%26+jones/jack--jones-boys-navy-blue-shorts/18810236/buy,1299,506,97,4.6,"Product Details  Red printed mid-rise regular shorts, has 2 pockets, drawstring closure Size & Fit Regular Fit  Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Typography Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17040470/2022/6/23/9a4cb5a9-0c07-4cf7-bbbc-a4d688ce19da1655966972966-US-Polo-Assn-Kids-Boys-Red-Printed-Pure-Cotton-Shorts-603165-12.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17040470/2022/3/29/a4d8ccdf-60d0-49d0-a128-5b4c4d41dfe91648530881409-US-Polo-Assn-Kids-Boys-Red-Printed-Pure-Cotton-Shorts-864164-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17040470/2022/3/29/b8e7a54d-dce6-4ea2-b885-4e28d4809ef11648530881400-US-Polo-Assn-Kids-Boys-Red-Printed-Pure-Cotton-Shorts-864164-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17040470/2022/3/29/026750ca-b506-4972-94ee-a4510b4eec481648530881392-US-Polo-Assn-Kids-Boys-Red-Printed-Pure-Cotton-Shorts-864164-3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17040470/2022/3/29/9b626f36-89d0-4581-b2da-f2ef0c212fe71648530881384-US-Polo-Assn-Kids-Boys-Red-Printed-Pure-Cotton-Shorts-864164-4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17040470/2022/3/29/60313a9c-e6f4-4c89-91d8-d539cc058b111648530881376-US-Polo-Assn-Kids-Boys-Red-Printed-Pure-Cotton-Shorts-864164-5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17040470/2022/3/29/3ad33e1f-c0ba-4d1a-a7cb-f07711f4c1c91648530881369-US-Polo-Assn-Kids-Boys-Red-Printed-Pure-Cotton-Shorts-864164-6.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17040470/2022/3/29/911d3ac0-d114-4b02-ae4b-097d9de5609a1648530881361-US-Polo-Assn-Kids-Boys-Red-Printed-Pure-Cotton-Shorts-864164-7.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17040470/2022/3/29/a2f6d4c2-663a-4194-947c-2062d12b0ecd1648530881353-US-Polo-Assn-Kids-Boys-Red-Printed-Pure-Cotton-Shorts-864164-11.jpg']",9,"['Good one. Its more like a 3/4th than a short.', 'Very good product', 'Great']",Indiflashmart
NEXT,Boys Solid Pure Cotton Shorts,http://myntra.com//shorts/marvel+by+wear+your+mind/marvel-by-wear-your-mind-boys-grey-printed-shorts/17569322/buy,899,413,,,"Product Details  Green solid mid-rise regular shorts,  has 3 pockets, drawstring closure Size & Fit Regular Fit  Material & Care 100% Cotton Machine wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 3 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26423766/2024/1/22/86b0ee9c-29f3-4b30-a287-26047548cf461705904542997-NEXT-Boys-Shorts-3781705904542758-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26423766/2024/1/22/094cd2f9-fa75-4f1c-8305-b3e95a88bd9c1705904542991-NEXT-Boys-Shorts-3781705904542758-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26423766/2024/1/22/8e37bee3-987a-4d30-881c-58a2bcc783f31705904542985-NEXT-Boys-Shorts-3781705904542758-3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26423766/2024/1/22/7504a146-7dc0-4d50-b107-5f9df6e3bd691705904542978-NEXT-Boys-Shorts-3781705904542758-4.jpg']",4,,Supercom Net
H&M,Boys Patch-Pocket Shorts,http://myntra.com//shorts/h%26m/hm-boys-pure-cotton-4-pack-jersey-shorts/28468168/buy,799,559,10,4.8,"Product Details  Shorts in an airy cotton weave with an elasticated, drawstring waist, a fake fly and a patch pocket at each side. Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Striped Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23126024/2023/5/12/f540ec3c-b6ca-4089-a894-f125c28de23b1683864810771Patch-pocketshorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23126024/2023/5/12/258ef6ef-024f-4e25-818a-191233a9401b1683864810782Patch-pocketshorts2.jpg']",2,"['Very comfy', 'Must buy', 'Very nice']",H & M Hennes & Mauritz Retail Private Limited
