Product Title,Price,Original Price,Discount,Delivery,Stock,Product URL,Seller Name
"Custom Watercolor Pet Portrait, Dog Portrait, Cat Portrait, Original Watercolor Portrait","5,842",5842,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1289552983/custom-watercolor-pet-portrait-dog?click_key=9d8dababdce9c0503ef5e88d1d4b3e477401d3c4%3A1289552983&click_sum=17437aaa&external=1&ref=finds_l-18&frs=1&sts=1,Ad vertisement from shop PetpoArts
Rustic dessert bowls | small ceramic bowls set of 3 | vintage leaf painting design | icecream bowls | handmade coil built pottery,"2,300",2300,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1435307083/rustic-dessert-bowls-small-ceramic-bowls?click_key=574607dcf9e41cfb26744bfe4fd39010eb92955b%3A1435307083&click_sum=1c52afb4&external=1&ref=finds_l-19&frs=1,Ad vertisement from shop ForestGuildCreations
"Macrame wall hanging , Boho tapestry,Rustic vintage wall hanging, knotted tapestry","2,999",2999,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1345236230/macrame-wall-hanging-boho-tapestryrustic?click_key=991202d736204129126d6257eca29c77d7ea96ce%3A1345236230&click_sum=33f8de86&external=1&ref=finds_l-20&frs=1,Ad vertisement from shop TheVineyardPlanter
"Cutes - Coaster set - cute round cork coasters, eco-friendly glass coasters Christmas gift, home decor, Llama, Bear, Panda, Sloth Bunny","1,613",2017,404.00,Delivery Charged,In-Stock,https://www.etsy.com/in-en/listing/780321796/cutes-coaster-set-cute-round-cork?click_key=736fd4b88cf9a86f0b289207a70d890be7f7a9bb%3A780321796&click_sum=a8a1e622&external=1&ref=finds_l-21&pro=1&sts=1,Ad vertisement from shop PepMelon
Punch Needles Start Kit/ Beginner Punch Needle Kit with Adjustable Punch Needle/Oxford Punch Needle Kit with Yarn/All Materials Included,"2,991",3324,333.00,Delivery Charged,In-Stock,https://www.etsy.com/in-en/listing/1173550560/punch-needles-start-kit-beginner-punch?click_key=5cebc15d209555419d2b4e4cee238ceb23a16855%3A1173550560&click_sum=01eedb3d&external=1&ref=finds_l-22&pro=1,Ad vertisement from shop TinaHouseBoutique
"Miniature size wooden gift bud vases, small budvase for collection and table top. Home decor, mid century , cute small wooden vase, FULLSET","2,494",2494,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1181985300/miniature-size-wooden-gift-bud-vases?click_key=d965fef867d9aa24527bea41d1a912714355db0e%3A1181985300&click_sum=afb8798e&external=1&ref=finds_l-23&frs=1,Ad vertisement from shop TahniDesigns
Terracotta wall plates for home decor. Hand made wall décor terracotta plates. Wall art for your home and office. Hand painted wall plates.,860,860,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1464215029/terracotta-wall-plates-for-home-decor?click_key=5a14de39f650ca2e4704f130fc913e69a8a81208%3A1464215029&click_sum=1bb2249e&external=1&ref=finds_l-24&frs=1,Ad vertisement from shop ThePetalCanvas
"Linocut ""striped cat"" linoprint","1,376",1376,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1372511828/linocut-striped-cat-linoprint?click_key=d8e17626d61335f7ca10fd395281c23704f184d0%3A1372511828&click_sum=6f640985&external=1&ref=finds_l-25&frs=1,Ad vertisement from shop ThreeLittleV
Mountains Custom Name Light | Personalized Bedroom LED Cloud Decor Sign | Light up Sign | Daughter/Son gift Sign /Boy Gift/ Girl Gift,"2,579",6448,3869.00,Delivery Charged,In-Stock,https://www.etsy.com/in-en/listing/1315375416/mountains-custom-name-light-personalized?click_key=99ded660941d707df489868adaf4d9ee03f59d4d%3A1315375416&click_sum=44316bbe&external=1&ref=finds_l-26&pro=1&sts=1,Ad vertisement from shop Ledexpression2
Cutting Chai (Set of-6) Crazy chai glasses  Hand Painted Metal Stand for kitchen Decor with beautiful Stand and Indian Glasses (7.5x5x7),"3,010",3010,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1465531857/cutting-chai-set-of-6-crazy-chai-glasses?click_key=c295787a908cecfa2a4e7cdd16aaab2876659c15%3A1465531857&click_sum=7c4d93ec&external=1&ref=finds_l-27&frs=1,Ad vertisement from shop GaurviArtsIndia
Ruby Quartz Necklace | Oval Stone Pendant | Silver Ruby Quartz Necklace | Minimal Gold Plated Ruby Quartz Necklace | Christmas Gift,"3,697",3697,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1300327920/ruby-quartz-necklace-oval-stone-pendant?click_key=75c591bcefba627da55f15555fe11c001c3eae41%3A1300327920&click_sum=20a8b6e8&external=1&ref=finds_l-28&frs=1,Ad vertisement from shop TanianJewel
NANAS Garden | Personalized Family Art Print | Personalized Watercolor Birth Month Flower | Fathers day Gift to Dad/Grandpa/Nana,640,688,48.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1464257457/nanas-garden-personalized-family-art?click_key=418f78316c6bcb988a425b791c8e4c779df8c174%3A1464257457&click_sum=9525a00c&external=1&ref=finds_l-29&pro=1&frs=1,Ad vertisement from shop Wizzartprint
Arch tray- arch trinket,850,850,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1369821203/arch-tray-arch-trinket?click_key=5afa88839f994ccf7c49e3fc74723f122cb52b00%3A1369821203&click_sum=4689de10&external=1&ref=finds_l-30&frs=1,Ad vertisement from shop ArtiqueHouse
"Custom portrait, couple portrait, valentines day gift, personalised gift,gift for her,digital portrait, couple gift, family portrait",450,1500,1050.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1492884215/custom-portrait-couple-portrait?click_key=bccb48338c8ebd72e0210d8168b665ebbb6baa4c%3A1492884215&click_sum=aeff56c5&external=1&ref=finds_l-31&pro=1&frs=1,Ad vertisement from shop PortraitCafe
"Set Of 3 Nursery Prints, Circus Animals, Bear, Lion, Circus, Kids Room Decor, Nursery Poster, Digital Prints, Kids Room Print, Circus Gift",816,816,0.00,Delivery Charged,In-Stock,https://www.etsy.com/in-en/listing/1467387588/set-of-3-nursery-prints-circus-animals?click_key=5e76a477575befcb44fb6611db642a279a85fd7f%3A1467387588&click_sum=62181558&external=1&ref=finds_l-32,Ad vertisement from shop byModernMuse
"Cats and plants art print, Gift idea for a cat mom, Eclectic green wall art, size 10x10 inch, Giclée print","1,634",1634,0.00,Delivery Charged,In-Stock,https://www.etsy.com/in-en/listing/1404105609/cats-and-plants-art-print-gift-idea-for?click_key=fa59244d6a3141952be4b36a4f9f2d6fc61beb9f%3A1404105609&click_sum=61df934d&external=1&ref=finds_l-33,Ad vertisement from shop ECelestialART
"Colorful Korean Coffee House Illustration ""Café Milestone"" - High Quality Art Print - Stylish Red, Purple, Blue and Pink Artwork","2,292",2292,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1150217211/colorful-korean-coffee-house?click_key=2cc50ea91314b8ec05268916734977abfeba4160%3A1150217211&click_sum=4c16ad74&external=1&ref=finds_l-34&frs=1,Ad vertisement from shop yueillustration
Retro Tapestry | Vintage Hippie Wall Hanging | Bohemian Trippy Colorful Bedroom Living Room Dorm Home Decor | Digital Art Print Design Gifts,"2,861",2861,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1425234009/retro-tapestry-vintage-hippie-wall?click_key=cb16af2316115fe3d77301e9d61b43e88b41ad28%3A1425234009&click_sum=6628223f&external=1&ref=finds_l-35&frs=1,Ad vertisement from shop MagnetikCreations
"Mexican Landscape, Frida Kahlo style, Boho, Eclectic, Abstract, Surrealism, Painting, Oil Painting, Painting, Art Print, Posters","2,146",2146,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1387304321/mexican-landscape-frida-kahlo-style-boho?click_key=573725739111250fea27b7ad00941e8d4e29ade3%3A1387304321&click_sum=3bdb48a5&external=1&ref=finds_l-36&frs=1,Ad vertisement from shop AIDesignBoutique
Aluminum Print: Boho Style | Pictures living room | Murals Set | Deco print without frame | Pictures set art print,"4,126",5502,1376.00,Delivery Charged,In-Stock,https://www.etsy.com/in-en/listing/1482978606/aluminum-print-boho-style-pictures?click_key=233114c619a28bbecc7d69b0eea53247d43a598a%3A1482978606&click_sum=84edf04d&external=1&ref=finds_l-37&pro=1,Ad vertisement from shop AIArtistAgency
Handwoven Everlasting Flower Decorations - Wall Art with a Touch of Nature's Beauty,"1,446",1607,161.00,Delivery Charged,In-Stock,https://www.etsy.com/in-en/listing/1492472838/handwoven-everlasting-flower-decorations?click_key=580495021e0499c0fbde5d16a807143c03c42adf%3A1492472838&click_sum=5f69f2e5&external=1&ref=finds_l-38&pro=1,Ad vertisement from shop SJulieShop
"Ceramic spoon rest, Cow parsley plate, Rustic ceramic oval plate, Small oval pottery plate, Bathroom ceramic decor, Black clay spoon rest",0,1607,1607.00,FREE delivery,Out-Of_Stock,https://www.etsy.com/in-en/listing/1441078819/ceramic-spoon-rest-cow-parsley-plate?click_key=466aed7555508e11645e0f7845e880d2b08c3d1b%3A1441078819&click_sum=86af9c33&external=1&ref=finds_l-39&frs=1&sts=1,Ad vertisement from shop PotsbyNives
Handmade ceramic marbled cup / pinched mug / organic shape - glazed in yellow,0,1607,1607.00,Delivery Charged,Out-Of_Stock,https://www.etsy.com/in-en/listing/1249161570/handmade-ceramic-marbled-cup-pinched-mug?click_key=4aa64c987c35ebb1f22176ee8d596825f1949f8f%3A1249161570&click_sum=c797e724&external=1&ref=finds_l-40&sts=1,Ad vertisement from shop VictoriaCeramicsShop
Handmade Purple Mushroom Lamp | Vintage Mushroom Lamp | Cute Mushroom Light Night | Bedroom Fairy Lights | Gift Lights | Anniversary Gift,"4,265",5687,1422.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1484753438/handmade-purple-mushroom-lamp-vintage?click_key=56543c11ab0b13f79809680c8b0f665a7add491a%3A1484753438&click_sum=6395efbb&external=1&ref=finds_l-1&pro=1&frs=1&sts=1,Ad vertisement from shop ArtisanGlow
"Women’s Straw Summer Pouch Bag, Beige Crochet Bag, Summer Cloud Crochet Bag, Handmade Clutch Purse, Modern Woven Dumpling Grab Bag","5,674",11347,5673.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1467111681/womens-straw-summer-pouch-bag-beige?click_key=744daf9e48d52425f930947946d42d31bc9bcfa6%3A1467111681&click_sum=02849de1&external=1&ref=finds_l-2&pro=1&frs=1&sts=1,Ad vertisement from shop EcruHandmadeDesign
Original one of a kind hand painted oil painting of peonies with black background perfect for home /office decor /size is 30 x36 inches,"15,000",15000,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1377752112/original-one-of-a-kind-hand-painted-oil?click_key=fbb384978114f08f05af7920118703b05c94e775%3A1377752112&click_sum=5908408a&external=1&ref=finds_l-3&frs=1,Ad vertisement from shop ArtscapebyG
ETSY DESIGN AWARDS 2022 winner - Geometric Artwork - Minimal Home Decor - Contemporary Wall Art - Large Wall Hanging Art - Big Wall Tapestry,"16,196",17996,1800.00,Delivery Charged,In-Stock,https://www.etsy.com/in-en/listing/1222165717/etsy-design-awards-2022-winner-geometric?click_key=4f998736bf30f4322d77168bca8f391713962e28%3A1222165717&click_sum=d6ce1ab1&external=1&ref=finds_l-4&pro=1&sts=1,Ad vertisement from shop WeAreLunarium
"Cow Pichwai Painting Traditional Indian Pichwai Painting, Home decor Art, Wall Art","9,357",11697,2340.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1497824115/cow-pichwai-painting-traditional-indian?click_key=05d62dc0395f2147c8e0c2fd6df7bb87dc59a298%3A1497824115&click_sum=cf39f48f&external=1&ref=finds_l-5&pro=1&frs=1,Ad vertisement from shop Ativaya
NEW And Exclusive Orange color Silk Cotton Saree With Checks | South Indian Saree | Wedding Saree | Sarees USA | Custom Stitching Blouse,"5,299",5299,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1373177772/new-and-exclusive-orange-color-silk?click_key=3014c33d588af200251def17c567dacf759c1005%3A1373177772&click_sum=173ef16a&external=1&ref=finds_l-6&frs=1,Ad vertisement from shop Sanchhi
UKKU Vase For Dried Flowers - Eco Friendly Home Decor From Recycled Wood - Baby & Pet Safe Vase - Minimalist Design - Gift For Her Or Him,"2,751",2751,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1453271870/ukku-vase-for-dried-flowers-eco-friendly?click_key=98326ea0a0fc12917b4c88d80fb115a6e8576d3b%3A1453271870&click_sum=fa3d62f9&external=1&ref=finds_l-7&frs=1&sts=1,Ad vertisement from shop PALLEMARdesign
Baby Sea Turtle Gift Large Ceramic Ring Dish Ocean Wave Epoxy Resin Art- Beach Themed Home Decor Small Hawaii Wedding Decor Jewelry Tray,"1,994",2216,222.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1494927545/baby-sea-turtle-gift-large-ceramic-ring?click_key=5efad6706b8fa5cb0a371016129367c1c8e3c0fd%3A1494927545&click_sum=32408986&external=1&ref=finds_l-8&pro=1&frs=1&sts=1,Ad vertisement from shop Mutluartstudio
"Table lamp TODAI - Mid century modern design, 3D Printed E27/E26 minimalist light","4,586",4586,0.00,Delivery Charged,In-Stock,https://www.etsy.com/in-en/listing/1069953738/table-lamp-todai-mid-century-modern?click_key=3e20cc5996b6f8ac5241382c9e8eb0dcf9a21ca6%3A1069953738&click_sum=07f3f8b3&external=1&ref=finds_l-9&frs=1&sts=1,Ad vertisement from shop 3DecoStudio
"Blue Petal Earrings, flower Clay earrings ,unique bold earring, gift mum, bold oversized earrings , Unique Geometric Edgy earrings","3,302",3302,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1197823739/blue-petal-earrings-flower-clay-earrings?click_key=7e3c9081ec0f46466e6128a4cec34308f848f397%3A1197823739&click_sum=a96c8d83&external=1&ref=finds_l-10&frs=1&sts=1,Ad vertisement from shop LagoClayJewelryShop
"Rainbow heart earrings, pendant, polymerclay, clay, cute earrings, earring, unique, gift, original, heart, hearts, rainbow, red, green, blue","1,742",1742,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1322328793/rainbow-heart-earrings-pendant?click_key=03bdc61c542eaf27300155cf441e0e109b10583a%3A1322328793&click_sum=ab075fba&external=1&ref=finds_l-11&frs=1&sts=1,Ad vertisement from shop LojaJoatina
TRINKET DISH TRAY | Jesmonite Jewelry Trinket Dish | Jewelry Organizer | Handmade Women Jewelry Storage Tray | Modern Round Coasters,"1,421",1421,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1406004114/trinket-dish-tray-jesmonite-jewelry?click_key=46b90a2663623e51bf38dcc46ee3ce38fbdfdbf7%3A1406004114&click_sum=19231f4a&external=1&ref=finds_l-12&frs=1,Ad vertisement from shop MaryamArtStudio18
Polymer Clay Rose 18k gold  plated Spring Bloom Floral Earrings/ Floral Flower Dangle Hoops/ Wedding Statement Earrings/ Gifts for her,"2,105",2105,0.00,Delivery Charged,In-Stock,https://www.etsy.com/in-en/listing/1452796147/polymer-clay-rose-18k-gold-plated-spring?click_key=c2db45d60a92886126bcecfaacb0713ca4a57496%3A1452796147&click_sum=83f1143c&external=1&ref=finds_l-13&frs=1,Ad vertisement from shop BloominBeautifulClay
Linen Wrap Jumpsuit Women/One Size Linen Overalls/Linen Loungewear/Plus Size Maxi Jumpsuit/Linen Romper/Free Size Black Boho Jumpsuit,"9,630",9630,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/1181878594/linen-wrap-jumpsuit-womenone-size-linen?click_key=0b377de43fa551eaa0c1b12f203635ec58e8e9c7%3A1181878594&click_sum=645c7af4&external=1&ref=finds_l-14&frs=1,Ad vertisement from shop VanoushLove
Chimera #2 Brutalist Necklace Cement Concrete Necklace Brutalist Statement Necklace for Architect Gift,"3,827",3827,0.00,FREE delivery,In-Stock,https://www.etsy.com/in-en/listing/614892927/chimera-2-brutalist-necklace-cement?click_key=0f276073706fa1a8a1d4f62ca74696b86cab8b97%3A614892927&click_sum=78a0202d&external=1&ref=finds_l-15&frs=1&sts=1,Ad vertisement from shop MaterialImmaterial
Craft boxes for jewelry| Bride’s jewelry box | Decorative Pot | Trinket dish | Marble white olive trinket dish | Jewelry box.,0,3827,3827.00,FREE delivery,Out-Of_Stock,https://www.etsy.com/in-en/listing/1280650524/craft-boxes-for-jewelryo-brides-jewelry?click_key=1fb2c0110bb6ad4e0b06481021358f570087ca09%3A1280650524&click_sum=e1a31fd1&external=1&ref=finds_l-16&frs=1&sts=1,Ad vertisement from shop madebylorislt
